SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,xPos,yPos,zPos,xRot,yRot,zRot
0,6_16,10_4_56,3.891317,2,0,0,0,0.01990652,-0.09146988,1.112562,0.1184834,351.31,356.0084,0.51704,
0,6_16,10_4_56,3.910652,2,0,0,0,0.01933527,-0.09150743,1.112517,0.1185073,351.3041,355.9862,0.520888,
0,6_16,10_4_56,3.922266,2,0,0,0,0.03094864,-0.09154928,1.112462,0.1185596,351.3226,355.9466,0.5113425,
0,6_16,10_4_56,3.934019,2,0,0,0,0.0427022,-0.09154761,1.112456,0.1185881,351.3472,355.9343,0.5160726,
0,6_16,10_4_56,3.94507,2,0,0,0,0.05375266,-0.09155297,1.112386,0.1185871,351.3552,355.9184,0.5341368,
0,6_16,10_4_56,3.957105,2,0,0,0,0.06578803,-0.09153414,1.112349,0.1186007,351.3841,355.9081,0.5392244,
0,6_16,10_4_56,3.969792,2,0,0,0,0.07847524,-0.09154987,1.112291,0.1186398,351.4042,355.9091,0.542929,
0,6_16,10_4_56,3.981183,2,0,0,0,0.08986568,-0.09158385,1.11225,0.1186322,351.426,355.9028,0.5583351,
0,6_16,10_4_56,3.992719,2,0,0,0,0.1014016,-0.09157741,1.112202,0.1186522,351.4388,355.903,0.5541446,
0,6_16,10_4_56,4.004048,2,0,0,0,0.1127307,-0.09153473,1.112185,0.1186658,351.4637,355.9063,0.561772,
0,6_16,10_4_56,4.016454,2,0,0,0,0.1251366,-0.09150147,1.112173,0.1187179,351.4699,355.9133,0.5470873,
0,6_16,10_4_56,4.028665,2,0,0,0,0.1373475,-0.09148026,1.112152,0.1186656,351.4818,355.9275,0.5435469,
0,6_16,10_4_56,4.048862,2,0,0,0,0.1575453,-0.09136963,1.112132,0.1187884,351.5013,355.9456,0.5411008,
0,6_16,10_4_56,4.06007,2,0,0,0,0.1687524,-0.09132278,1.112087,0.1188295,351.5059,355.9516,0.5489886,
0,6_16,10_4_56,4.072408,2,0,0,0,0.1810906,-0.09132183,1.112074,0.1188637,351.4986,355.9693,0.5428606,
0,6_16,10_4_56,4.084396,2,0,0,0,0.1930788,-0.09126413,1.112072,0.1189524,351.5048,355.9773,0.5511577,
0,6_16,10_4_56,4.096396,2,0,0,0,0.2050793,-0.09126306,1.11205,0.1189811,351.5172,355.9818,0.5517789,
0,6_16,10_4_56,4.106827,2,0,0,0,0.2155097,-0.09129298,1.112034,0.1190563,351.5319,355.9924,0.5636679,
0,6_16,10_4_56,4.118979,2,0,0,0,0.2276618,-0.09134483,1.11197,0.1190656,351.5599,355.9954,0.5862452,
0,6_16,10_4_56,4.130648,2,0,0,0,0.239331,-0.09136426,1.111946,0.1190886,351.5677,355.9823,0.5857661,
0,6_16,10_4_56,4.141078,2,0,0,0,0.2497613,-0.09139729,1.111943,0.1190693,351.5613,355.9761,0.5970336,
0,6_16,10_4_56,4.152832,2,0,0,0,0.2615144,-0.09141934,1.111954,0.1190891,351.5606,355.9559,0.5977256,
0,6_16,10_4_56,4.163742,2,0,0,0,0.2724249,-0.09142995,1.111958,0.1190785,351.5641,355.9323,0.5882807,
0,6_16,10_4_56,4.176008,2,0,0,0,0.2846911,-0.09148085,1.111945,0.1190779,351.5513,355.9196,0.5849405,
0,6_16,10_4_56,4.187551,2,0,0,0,0.2962339,-0.09152853,1.111988,0.1190823,351.5479,355.9025,0.5774025,
0,6_16,10_4_56,4.199374,2,0,0,0,0.3080571,-0.09154665,1.111983,0.1190915,351.516,355.8939,0.5823637,
0,6_16,10_4_56,4.210763,2,0,0,0,0.3194463,-0.09155691,1.111994,0.1190312,351.5084,355.8809,0.5876889,
0,6_16,10_4_56,4.222194,2,0,0,0,0.3308766,-0.09146082,1.112043,0.1190264,351.5024,355.8688,0.5838464,
0,6_16,10_4_56,4.235178,2,0,0,0,0.3438613,-0.09148169,1.112036,0.1189938,351.5089,355.8624,0.585765,
0,6_16,10_4_56,4.246087,2,0,0,0,0.3547699,-0.09153175,1.112052,0.1190571,351.5108,355.8693,0.5881817,
0,6_16,10_4_56,4.256909,2,0,0,0,0.3655918,-0.09155881,1.111994,0.1190282,351.5136,355.8655,0.587809,
0,6_16,10_4_56,4.269065,2,0,0,0,0.3777483,-0.0915755,1.112005,0.1190443,351.5202,355.869,0.5875217,
0,6_16,10_4_56,4.28009,2,0,0,0,0.3887727,-0.09159315,1.112028,0.1190534,351.5309,355.8769,0.5930855,
0,6_16,10_4_56,4.290957,2,0,0,0,0.3996398,-0.09157884,1.112058,0.1190569,351.5344,355.8909,0.5974673,
0,6_16,10_4_56,4.303805,2,0,0,0,0.4124882,-0.09158778,1.11207,0.1191254,351.518,355.916,0.5902066,
0,6_16,10_4_56,4.314846,2,0,0,0,0.4235284,-0.0915767,1.112096,0.1191412,351.5178,355.9231,0.5926473,
0,6_16,10_4_56,4.325753,2,0,0,0,0.4344356,-0.09155011,1.112087,0.1191614,351.511,355.9424,0.5834074,
0,6_16,10_4_56,4.337807,2,0,0,0,0.4464896,-0.09154785,1.112081,0.1191815,351.5058,355.9532,0.5869612,
0,6_16,10_4_56,4.34972,2,0,0,0,0.4584024,-0.09152186,1.112069,0.1192048,351.502,355.9705,0.5905907,
0,6_16,10_4_56,4.361774,2,0,0,0,0.4704568,-0.09153306,1.112041,0.119249,351.5072,355.9901,0.5880347,
0,6_16,10_4_56,4.373762,2,0,0,0,0.4824445,-0.09152102,1.112024,0.1192693,351.5145,356.0032,0.5879727,
0,6_16,10_4_56,4.385204,2,0,0,0,0.4938872,-0.09149265,1.112003,0.1192464,351.5148,356.0112,0.5861763,
0,6_16,10_4_56,4.396588,2,0,0,0,0.5052707,-0.09147477,1.111984,0.119266,351.5208,356.022,0.5787283,
0,6_16,10_4_56,4.407804,2,0,0,0,0.5164864,-0.09140968,1.11194,0.1192791,351.5348,356.0479,0.5667279,
