SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,screenFixationX,screenFixationY,gazeFixationX,gazeFixationY,gazeFixationZ,localGazeX,localGazeY,localGazeZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,rightEyePositionX,rightEyePositionY,rightEyePositionZ,leftEyeRotationX,leftEyeRotationY,leftEyeRotationZ,rightEyeRotationX,rightEyeRotationY,rightEyeRotationZ,leftEyePupilSize,rightEyePupilSize,leftEyeOpenAmount,rightEyeOpenAmount,GazeHitPointX,GazeHitPointY,GazeHitPointZ,GameObjectInFocus
0,6_16,10_4_56,3.891317,2,0,0,0,0.01990652,0.77, 0.68,0.58, 1.82, 1.12,-0.03, 0.00, 1.00,30.87, 2.88, -39.31,-31.94, 2.65, -42.76,0.03, 0.00, 1.00,0.10, -0.01, 0.99,2.08197,2.078552,1,1,-0.9930807,2.435941,8.777755,Front Wall
0,6_16,10_4_56,3.910652,2,0,0,0,0.01933527,0.77, 0.68,0.58, 1.82, 1.12,-0.03, 0.00, 1.00,30.90, 2.87, -39.27,-32.00, 2.46, -42.13,0.04, 0.00, 1.00,0.09, 0.00, 1.00,2.105881,2.023163,1,1,-0.6428975,1.90411,5.25,CS+ Object
0,6_16,10_4_56,3.922266,2,0,0,0,0.03094864,0.78, 0.68,0.58, 1.82, 1.12,-0.03, 0.00, 1.00,30.92, 2.82, -39.14,-32.06, 2.25, -41.48,0.04, 0.00, 1.00,0.10, 0.01, 0.99,2.090942,2.074188,1,1,-0.667333,1.878776,5.25,CS+ Object
0,6_16,10_4_56,3.934019,2,0,0,0,0.0427022,0.78, 0.68,0.58, 1.82, 1.12,-0.03, 0.00, 1.00,30.93, 2.82, -39.14,-32.07, 2.30, -41.64,0.04, 0.00, 1.00,0.10, 0.00, 1.00,2.100128,2.136337,1,1,-0.6541052,1.883487,5.25,CS+ Object
0,6_16,10_4_56,3.94507,2,0,0,0,0.05375266,0.78, 0.68,0.58, 1.82, 1.12,-0.03, 0.00, 1.00,30.93, 2.82, -39.15,-32.07, 2.37, -41.85,0.04, 0.00, 1.00,0.11, 0.00, 0.99,2.109589,2.063995,1,1,-0.659986,1.890621,5.25,CS+ Object
0,6_16,10_4_56,3.957105,2,0,0,0,0.06578803,0.78, 0.69,0.58, 1.82, 1.12,-0.03, 0.00, 1.00,30.94, 2.82, -39.14,-32.08, 2.38, -41.89,0.04, 0.00, 1.00,0.10, -0.01, 0.99,2.109741,2.127823,1,1,-0.6534523,1.889761,5.25,CS+ Object
0,6_16,10_4_56,3.969792,2,0,0,0,0.07847524,0.78, 0.69,0.58, 1.82, 1.12,-0.04, 0.00, 1.00,30.94, 2.75, -38.94,-32.09, 2.37, -41.85,0.04, 0.00, 1.00,0.10, 0.00, 0.99,2.104935,2.095245,1,1,-0.6496741,1.903623,5.25,CS+ Object
0,6_16,10_4_56,3.981183,2,0,0,0,0.08986568,0.77, 0.69,0.57, 1.82, 1.12,-0.04, 0.00, 1.00,30.94, 2.68, -38.75,-32.10, 2.35, -41.79,0.04, 0.01, 1.00,0.10, 0.00, 0.99,2.095566,2.097977,1,1,-1.486581,2.445568,8.777755,Front Wall
0,6_16,10_4_56,3.992719,2,0,0,0,0.1014016,0.77, 0.69,0.57, 1.82, 1.12,-0.04, 0.00, 1.00,30.94, 2.68, -38.73,-32.10, 2.33, -41.72,0.04, 0.01, 1.00,0.10, 0.00, 0.99,2.09201,2.100311,1,1,-1.541958,2.446531,8.777755,Front Wall
0,6_16,10_4_56,4.004048,2,0,0,0,0.1127307,0.77, 0.69,0.57, 1.82, 1.12,-0.04, 0.00, 1.00,30.95, 2.69, -38.75,-32.11, 2.34, -41.73,0.04, 0.01, 1.00,0.10, 0.00, 0.99,2.091904,2.090744,1,1,-1.578858,2.440213,8.777755,Front Wall
