SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Stage,Context,xPos,yPos,zPos,xRot,yRot,zRot
0,7_25,11_53_0,4.286494,1,0,0,0,0,InstructionPhase,A,-0.4694687,2.054577,0.4621646,50.58425,250.5519,180.2115,
0,7_25,11_53_41,4.306494,1,0,0,0,0.01999998,InstructionPhase,A,-0.1933089,2.406454,0.0753026,3.201895,4.769504,356.1613,
0,7_25,11_53_41,4.639827,1,0,0,0,0.353333,InstructionPhase,A,-0.1942104,2.407329,0.07446218,2.866288,4.483903,356.3147,
0,7_25,11_53_41,4.699948,1,0,0,0,0.4134536,InstructionPhase,A,-0.194124,2.407319,0.07444167,2.876189,4.468005,356.3282,
0,7_25,11_53_41,4.778616,1,0,0,0,0.4921222,InstructionPhase,A,-0.1944327,2.407362,0.07423222,2.847738,4.410491,356.4011,
0,7_25,11_53_41,4.790791,1,0,0,0,0.5042968,InstructionPhase,A,-0.1944866,2.407368,0.07423365,2.836023,4.395473,356.3968,
0,7_25,11_53_41,4.800775,1,0,0,0,0.5142808,InstructionPhase,A,-0.1944331,2.407396,0.07412124,2.824538,4.393374,356.3863,
0,7_25,11_53_42,4.812296,1,0,0,0,0.5258017,InstructionPhase,A,-0.1944371,2.407431,0.07409728,2.809585,4.387998,356.3806,
0,7_25,11_53_42,4.821854,1,0,0,0,0.5353594,InstructionPhase,A,-0.1944441,2.407457,0.07407868,2.791969,4.384564,356.3777,
0,7_25,11_53_42,4.849429,1,0,0,0,0.5629344,InstructionPhase,A,-0.194378,2.407524,0.07402861,2.775445,4.386885,356.4057,
0,7_25,11_53_42,4.882797,1,0,0,0,0.596303,InstructionPhase,A,-0.1942452,2.407635,0.07395291,2.704528,4.409504,356.4261,
0,7_25,11_53_42,4.893156,1,0,0,0,0.6066618,InstructionPhase,A,-0.1942244,2.407733,0.0739454,2.674889,4.423251,356.4261,
0,7_25,11_53_42,4.90231,1,0,0,0,0.6158156,InstructionPhase,A,-0.1940963,2.407795,0.07389665,2.638462,4.419174,356.4091,
0,7_25,11_53_42,4.913094,1,0,0,0,0.6265998,InstructionPhase,A,-0.194033,2.407887,0.07388258,2.605768,4.460377,356.3688,
0,7_25,11_53_42,4.924159,1,0,0,0,0.6376648,InstructionPhase,A,-0.193934,2.407945,0.07391942,2.602423,4.476912,356.3121,
0,7_25,11_53_42,4.946451,1,0,0,0,0.6599565,InstructionPhase,A,-0.1940176,2.407893,0.07382548,2.658232,4.509269,356.2915,
0,7_25,11_53_42,4.968682,1,0,0,0,0.682188,InstructionPhase,A,-0.1939385,2.407937,0.07367277,2.722617,4.5104,356.3397,
0,7_25,11_53_42,4.990839,1,0,0,0,0.7043452,InstructionPhase,A,-0.193867,2.407928,0.07363927,2.692986,4.507735,356.3995,
0,7_25,11_53_42,5.013153,1,0,0,0,0.7266583,InstructionPhase,A,-0.1940075,2.407971,0.07356441,2.680148,4.526643,356.3688,
0,7_25,11_53_42,5.035291,1,0,0,0,0.7487969,InstructionPhase,A,-0.1940699,2.408039,0.07347798,2.666417,4.509768,356.3455,
0,7_25,11_53_42,5.057498,1,0,0,0,0.7710032,InstructionPhase,A,-0.1940615,2.408042,0.07339394,2.62026,4.479137,356.3437,
0,7_25,11_53_42,5.079705,1,0,0,0,0.793211,InstructionPhase,A,-0.1938958,2.408113,0.07326722,2.589841,4.413517,356.388,
0,7_25,11_53_42,5.10193,1,0,0,0,0.8154354,InstructionPhase,A,-0.1938142,2.408276,0.07331181,2.500491,4.384993,356.415,
0,7_25,11_53_42,5.124161,1,0,0,0,0.837667,InstructionPhase,A,-0.1938621,2.408392,0.07323992,2.480899,4.382477,356.3894,
0,7_25,11_53_42,5.146298,1,0,0,0,0.8598042,InstructionPhase,A,-0.193958,2.408449,0.07309747,2.530222,4.363768,356.3725,
0,7_25,11_53_42,5.168633,1,0,0,0,0.8821392,InstructionPhase,A,-0.1940858,2.408668,0.07291579,2.506034,4.304445,356.4321,
0,7_25,11_53_42,5.190788,1,0,0,0,0.9042935,InstructionPhase,A,-0.1940899,2.408757,0.07272005,2.482791,4.238342,356.4838,
0,7_25,11_53_42,5.212964,1,0,0,0,0.9264698,InstructionPhase,A,-0.194162,2.408794,0.07258868,2.517698,4.167675,356.483,
0,7_25,11_53_42,5.235252,1,0,0,0,0.9487576,InstructionPhase,A,-0.1943421,2.408642,0.07248461,2.582844,4.137157,356.4708,
0,7_25,11_53_42,5.257526,1,0,0,0,0.9710317,InstructionPhase,A,-0.1945504,2.408576,0.07234132,2.658892,4.100184,356.4701,
0,7_25,11_53_42,5.27961,1,0,0,0,0.9931154,InstructionPhase,A,-0.1945192,2.408445,0.07217801,2.766808,4.010185,356.483,
0,7_25,11_53_42,5.324155,1,0,0,0,1.037661,InstructionPhase,A,-0.1947582,2.407961,0.07194257,3.230591,3.72954,356.594,
0,7_25,11_53_42,5.346197,1,0,0,0,1.059702,InstructionPhase,A,-0.1950047,2.407816,0.07185638,3.300858,3.544566,356.5514,
0,7_25,11_53_42,5.368528,1,0,0,0,1.082034,InstructionPhase,A,-0.1951456,2.407843,0.07173073,3.370132,3.398001,356.4754,
0,7_25,11_53_42,5.390641,1,0,0,0,1.104146,InstructionPhase,A,-0.1952316,2.407602,0.07155085,3.50399,3.268746,356.4681,
0,7_25,11_53_42,5.412859,1,0,0,0,1.126365,InstructionPhase,A,-0.19528,2.407513,0.07154596,3.54397,3.198173,356.4475,
0,7_25,11_53_42,5.423984,1,0,0,0,1.13749,InstructionPhase,A,-0.1953642,2.407575,0.07149708,3.573524,3.103811,356.4429,
0,7_25,11_53_42,5.435369,1,0,0,0,1.148874,InstructionPhase,A,-0.1954454,2.407712,0.07143533,3.587504,2.965698,356.4136,
0,7_25,11_53_42,5.44605,1,0,0,0,1.159555,InstructionPhase,A,-0.1955544,2.407796,0.07142627,3.58143,2.853554,356.3868,
0,7_25,11_53_42,5.457212,1,0,0,0,1.170718,InstructionPhase,A,-0.1956635,2.407855,0.07138193,3.615947,2.701843,356.3762,
0,7_25,11_53_42,5.46832,1,0,0,0,1.181826,InstructionPhase,A,-0.1957703,2.407926,0.07117248,3.646997,2.555094,356.3908,
0,7_25,11_53_42,5.479388,1,0,0,0,1.192894,InstructionPhase,A,-0.1958779,2.407954,0.07102621,3.688154,2.390445,356.398,
0,7_25,11_53_42,5.490533,1,0,0,0,1.204039,InstructionPhase,A,-0.1958576,2.408138,0.07084131,3.6872,2.237459,356.3935,
0,7_25,11_53_42,5.501664,1,0,0,0,1.215169,InstructionPhase,A,-0.1959753,2.408305,0.07068503,3.642668,2.093897,356.3745,
0,7_25,11_53_42,5.512813,1,0,0,0,1.226318,InstructionPhase,A,-0.1960914,2.408511,0.07062268,3.563796,1.951601,356.366,
0,7_25,11_53_42,5.523937,1,0,0,0,1.237443,InstructionPhase,A,-0.1962247,2.408767,0.07049811,3.484634,1.809665,356.3541,
0,7_25,11_53_42,5.535067,1,0,0,0,1.248572,InstructionPhase,A,-0.1963613,2.408989,0.07039225,3.404211,1.651469,356.3327,
0,7_25,11_53_42,5.54605,1,0,0,0,1.259555,InstructionPhase,A,-0.1964257,2.409173,0.07021129,3.335033,1.516343,356.3095,
0,7_25,11_53_42,5.558139,1,0,0,0,1.271645,InstructionPhase,A,-0.1965579,2.409339,0.07008612,3.259558,1.363821,356.2783,
0,7_25,11_53_42,5.568267,1,0,0,0,1.281773,InstructionPhase,A,-0.1967043,2.409567,0.07000208,3.2092,1.214784,356.2468,
0,7_25,11_53_42,5.579407,1,0,0,0,1.292912,InstructionPhase,A,-0.1968096,2.409773,0.06982768,3.136079,1.061446,356.2327,
0,7_25,11_53_42,5.590634,1,0,0,0,1.30414,InstructionPhase,A,-0.1970695,2.40994,0.06965566,3.078162,0.9093758,356.23,
0,7_25,11_53_42,5.601622,1,0,0,0,1.315127,InstructionPhase,A,-0.1972499,2.410069,0.06950796,3.001753,0.7494324,356.2376,
0,7_25,11_53_42,5.61287,1,0,0,0,1.326376,InstructionPhase,A,-0.197324,2.410252,0.06931818,2.926766,0.5731153,356.2549,
0,7_25,11_53_42,5.623853,1,0,0,0,1.337358,InstructionPhase,A,-0.1974092,2.410424,0.06911993,2.857414,0.4150224,356.2439,
0,7_25,11_53_42,5.634912,1,0,0,0,1.348418,InstructionPhase,A,-0.1975124,2.41059,0.06896186,2.764416,0.2718726,356.1995,
0,7_25,11_53_42,5.647212,1,0,0,0,1.360717,InstructionPhase,A,-0.1976205,2.4108,0.06883395,2.680433,0.1344288,356.1408,
0,7_25,11_53_42,5.657182,1,0,0,0,1.370687,InstructionPhase,A,-0.1977347,2.411046,0.06866133,2.590462,0.01213792,356.0898,
0,7_25,11_53_42,5.668339,1,0,0,0,1.381845,InstructionPhase,A,-0.1977901,2.411263,0.06856513,2.502937,359.8892,356.0513,
0,7_25,11_53_42,5.679324,1,0,0,0,1.392829,InstructionPhase,A,-0.1978656,2.411499,0.06838417,2.427864,359.7958,356.0173,
0,7_25,11_53_42,5.690493,1,0,0,0,1.403998,InstructionPhase,A,-0.19787,2.411723,0.0681169,2.369441,359.7115,355.9922,
0,7_25,11_53_42,5.702196,1,0,0,0,1.415702,InstructionPhase,A,-0.1978366,2.411921,0.06800354,2.310287,359.6344,355.9799,
