SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Stage,Context,screenFixationX,screenFixationY,gazeFixationX,gazeFixationY,gazeFixationZ,localGazeX,localGazeY,localGazeZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,rightEyePositionX,rightEyePositionY,rightEyePositionZ,leftEyeRotationX,leftEyeRotationY,leftEyeRotationZ,rightEyeRotationX,rightEyeRotationY,rightEyeRotationZ,leftEyePupilSize,rightEyePupilSize,leftEyeOpenAmount,rightEyeOpenAmount,GazeHitPointX,GazeHitPointY,GazeHitPointZ,GameObjectInFocus
0,7_25,12_8_26,4.24566,1,0,0,0,0,InstructionPhase,A,0.45, 0.51,-0.24, 2.45, 2.11,-0.07, -0.04, 1.00,33.97, 1.60, -34.35,-31.41, 0.38, -33.75,0.08, -0.06, 1.00,0.07, -0.04, 1.00,3.989792,4.210083,0,0,-0.183389,2.115715,5.555975,MiddleDoor
0,7_25,12_9_0,4.26566,1,0,0,0,0.01999998,InstructionPhase,A,0.49, 0.73,-0.18, 3.20, 1.82,-0.04, 0.03, 1.00,33.26, 2.55, -35.01,-31.00, 0.97, -33.60,0.01, 0.03, 1.00,0.06, 0.03, 1.00,3.682556,3.949173,1,1,-0.4694352,1.724189,5.555975,MiddleDoor
0,7_25,12_9_0,4.598993,1,0,0,0,0.3533335,InstructionPhase,A,0.50, 0.72,-0.17, 3.20, 1.82,-0.03, 0.03, 1.00,33.26, 2.55, -35.03,-31.00, 0.97, -33.58,0.01, 0.02, 1.00,0.06, 0.03, 1.00,3.666351,3.949692,1,1,-0.475843,1.760233,5.555975,MiddleDoor
0,7_25,12_9_0,4.611603,1,0,0,0,0.3659434,InstructionPhase,A,0.50, 0.72,-0.17, 3.20, 1.82,-0.03, 0.02, 1.00,33.26, 2.55, -35.05,-31.01, 0.93, -33.50,0.01, 0.02, 1.00,0.06, 0.03, 1.00,3.627945,3.914871,1,1,-0.4531325,1.751173,5.555975,MiddleDoor
0,7_25,12_9_0,4.683217,1,0,0,0,0.4375572,InstructionPhase,A,0.50, 0.72,-0.17, 3.20, 1.82,-0.03, 0.02, 1.00,33.26, 2.55, -35.06,-31.02, 0.91, -33.43,0.00, 0.02, 1.00,0.06, 0.03, 1.00,3.587784,3.938751,1,1,-0.4477867,1.744423,5.555975,MiddleDoor
0,7_25,12_9_0,4.693027,1,0,0,0,0.4473667,InstructionPhase,A,0.50, 0.72,-0.16, 3.20, 1.82,-0.02, 0.02, 1.00,33.26, 2.55, -35.06,-31.03, 0.90, -33.39,0.00, 0.02, 1.00,0.06, 0.03, 1.00,3.587601,3.936539,1,1,-0.43407,1.740378,5.555975,MiddleDoor
0,7_25,12_9_0,4.703115,1,0,0,0,0.4574552,InstructionPhase,A,0.50, 0.72,-0.16, 3.20, 1.82,-0.02, 0.02, 1.00,33.26, 2.55, -35.06,-31.03, 0.89, -33.36,0.00, 0.02, 1.00,0.06, 0.03, 1.00,3.579193,3.937592,1,1,-0.4180908,1.736893,5.555975,MiddleDoor
0,7_25,12_9_0,4.71325,1,0,0,0,0.4675899,InstructionPhase,A,0.50, 0.72,-0.16, 3.20, 1.82,-0.02, 0.02, 1.00,33.26, 2.55, -35.06,-31.03, 0.88, -33.35,0.00, 0.02, 1.00,0.06, 0.03, 1.00,3.5793,3.914612,1,1,-0.4095288,1.735529,5.555975,MiddleDoor
0,7_25,12_9_0,4.72184,1,0,0,0,0.4761806,InstructionPhase,A,0.51, 0.72,-0.16, 3.20, 1.82,-0.01, 0.02, 1.00,33.26, 2.55, -35.06,-31.04, 0.88, -33.34,0.00, 0.02, 1.00,0.05, 0.03, 1.00,3.578888,3.915024,1,1,-0.4013237,1.734495,5.555975,MiddleDoor
0,7_25,12_9_0,4.73186,1,0,0,0,0.4861999,InstructionPhase,A,0.51, 0.72,-0.16, 3.20, 1.82,-0.02, 0.02, 1.00,33.25, 2.55, -35.06,-31.04, 0.86, -33.29,0.00, 0.02, 1.00,0.05, 0.03, 1.00,3.587448,3.906387,1,1,-0.4136395,1.730847,5.555975,MiddleDoor
0,7_25,12_9_0,4.741936,1,0,0,0,0.4962764,InstructionPhase,A,0.51, 0.72,-0.16, 3.20, 1.82,-0.02, 0.02, 1.00,33.25, 2.55, -35.06,-31.05, 0.86, -33.29,0.00, 0.02, 1.00,0.05, 0.03, 1.00,3.59877,3.915298,1,1,-0.4348271,1.735673,5.555975,MiddleDoor
0,7_25,12_9_0,4.752375,1,0,0,0,0.5067153,InstructionPhase,A,0.51, 0.72,-0.16, 3.20, 1.82,-0.02, 0.02, 1.00,33.25, 2.54, -35.04,-31.06, 0.86, -33.29,0.00, 0.02, 1.00,0.05, 0.03, 1.00,3.598969,3.915375,1,1,-0.4526619,1.741495,5.555975,MiddleDoor
0,7_25,12_9_0,4.762244,1,0,0,0,0.5165844,InstructionPhase,A,0.51, 0.72,-0.17, 3.20, 1.82,-0.02, 0.02, 1.00,33.25, 2.54, -35.04,-31.06, 0.86, -33.29,0.00, 0.02, 1.00,0.05, 0.03, 1.00,3.605865,3.906143,1,1,-0.4715566,1.745321,5.555975,MiddleDoor
