SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Stage,xPos,yPos,zPos,xRot,yRot,zRot
0,7_2,10_10_18,5.60477,1,0,0,1,0.0174818,InstructionPhase,-0.2899104,2.433201,0.09512722,356.6212,2.50543,357.1184,
0,7_2,10_10_19,5.731227,1,0,0,1,0.143939,InstructionPhase,-0.2898961,2.433528,0.09521115,356.5394,2.70055,357.0818,
0,7_2,10_10_19,5.749055,1,0,0,1,0.161767,InstructionPhase,-0.289907,2.433532,0.09520757,356.5412,2.696893,357.0941,
0,7_2,10_10_19,5.765442,1,0,0,1,0.1781535,InstructionPhase,-0.2900261,2.433526,0.09517682,356.5511,2.687325,357.112,
0,7_2,10_10_19,5.778106,1,0,0,1,0.1908174,InstructionPhase,-0.2900673,2.433505,0.09521222,356.5471,2.670479,357.117,
0,7_2,10_10_19,5.791112,1,0,0,1,0.2038236,InstructionPhase,-0.2901359,2.433513,0.09518123,356.5352,2.658068,357.1136,
0,7_2,10_10_19,5.805054,1,0,0,1,0.2177653,InstructionPhase,-0.2902287,2.433526,0.09510124,356.5098,2.640541,357.1179,
0,7_2,10_10_19,5.81818,1,0,0,1,0.2308917,InstructionPhase,-0.290332,2.433571,0.09502995,356.4657,2.616839,357.1257,
0,7_2,10_10_19,5.830781,1,0,0,1,0.2434931,InstructionPhase,-0.2903739,2.433623,0.09499264,356.4396,2.610571,357.1262,
0,7_2,10_10_19,5.845144,1,0,0,1,0.2578554,InstructionPhase,-0.2903063,2.433635,0.09491611,356.4154,2.609061,357.1131,
0,7_2,10_10_19,5.858956,1,0,0,1,0.271668,InstructionPhase,-0.2902404,2.433686,0.0949831,356.3889,2.618643,357.1061,
0,7_2,10_10_19,5.873648,1,0,0,1,0.2863598,InstructionPhase,-0.2902184,2.433807,0.09497213,356.3486,2.639111,357.0965,
0,7_2,10_10_19,5.886698,1,0,0,1,0.2994099,InstructionPhase,-0.2901788,2.433738,0.09492803,356.3146,2.655087,357.0763,
0,7_2,10_10_19,5.900291,1,0,0,1,0.3130031,InstructionPhase,-0.2900878,2.43378,0.0950048,356.2946,2.673006,357.0695,
0,7_2,10_10_19,5.913618,1,0,0,1,0.3263292,InstructionPhase,-0.2900871,2.433806,0.09502101,356.2813,2.684323,357.063,
0,7_2,10_10_19,5.926226,1,0,0,1,0.3389378,InstructionPhase,-0.2900207,2.433751,0.09500623,356.2566,2.688945,357.0689,
0,7_2,10_10_19,5.939764,1,0,0,1,0.3524761,InstructionPhase,-0.2899864,2.433783,0.09503591,356.2337,2.708518,357.074,
0,7_2,10_10_19,5.951987,1,0,0,1,0.3646989,InstructionPhase,-0.2900084,2.433767,0.09503651,356.2258,2.724944,357.0804,
0,7_2,10_10_19,5.966027,1,0,0,1,0.3787384,InstructionPhase,-0.2901409,2.433774,0.09505188,356.23,2.722499,357.0722,
0,7_2,10_10_19,5.981164,1,0,0,1,0.3938756,InstructionPhase,-0.2902933,2.433727,0.09510183,356.2479,2.688127,357.0795,
0,7_2,10_10_19,5.994596,1,0,0,1,0.4073076,InstructionPhase,-0.2903702,2.4337,0.09509838,356.2631,2.659758,357.1033,
0,7_2,10_10_19,6.006788,1,0,0,1,0.4194999,InstructionPhase,-0.2905731,2.43362,0.09521949,356.2905,2.627292,357.1304,
0,7_2,10_10_19,6.022798,1,0,0,1,0.4355097,InstructionPhase,-0.290594,2.433572,0.09519517,356.3123,2.631102,357.1541,
0,7_2,10_10_19,6.037265,1,0,0,1,0.4499764,InstructionPhase,-0.290598,2.433609,0.09531176,356.3399,2.636228,357.1511,
0,7_2,10_10_19,6.061547,1,0,0,1,0.4742589,InstructionPhase,-0.2908992,2.433568,0.09540844,356.4014,2.578489,357.1622,
0,7_2,10_10_19,6.075877,1,0,0,1,0.4885883,InstructionPhase,-0.2909365,2.433642,0.09529662,356.3661,2.571698,357.1743,
0,7_2,10_10_19,6.08966,1,0,0,1,0.5023718,InstructionPhase,-0.2909976,2.433654,0.09531963,356.3194,2.555594,357.1786,
0,7_2,10_10_19,6.103029,1,0,0,1,0.5157409,InstructionPhase,-0.2910175,2.433757,0.09534144,356.2891,2.5503,357.1756,
0,7_2,10_10_19,6.116974,1,0,0,1,0.5296855,InstructionPhase,-0.2911444,2.433751,0.09534407,356.2725,2.545785,357.18,
0,7_2,10_10_19,6.131027,1,0,0,1,0.5437384,InstructionPhase,-0.2912445,2.433764,0.09537709,356.2318,2.533836,357.1918,
0,7_2,10_10_19,6.14597,1,0,0,1,0.5586815,InstructionPhase,-0.291294,2.433824,0.09541953,356.2106,2.530574,357.1981,
0,7_2,10_10_19,6.16054,1,0,0,1,0.5732517,InstructionPhase,-0.2913109,2.433838,0.09550035,356.1782,2.523301,357.1866,
0,7_2,10_10_19,6.174892,1,0,0,1,0.5876036,InstructionPhase,-0.2913904,2.43396,0.09562695,356.1418,2.516929,357.1998,
0,7_2,10_10_19,6.189619,1,0,0,1,0.6023307,InstructionPhase,-0.2914147,2.433978,0.09566939,356.1316,2.504329,357.215,
0,7_2,10_10_19,6.202072,1,0,0,1,0.6147833,InstructionPhase,-0.2914789,2.43396,0.09581423,356.1219,2.502579,357.2358,
0,7_2,10_10_19,6.215271,1,0,0,1,0.6279821,InstructionPhase,-0.2915142,2.433947,0.09584725,356.1223,2.495555,357.2597,
0,7_2,10_10_19,6.22773,1,0,0,1,0.6404414,InstructionPhase,-0.2916491,2.433946,0.09591043,356.1094,2.466582,357.2847,
0,7_2,10_10_19,6.240329,1,0,0,1,0.6530409,InstructionPhase,-0.2917018,2.433912,0.09593022,356.1137,2.442967,357.3013,
0,7_2,10_10_19,6.252958,1,0,0,1,0.6656699,InstructionPhase,-0.2917863,2.4339,0.09594071,356.1188,2.427558,357.3017,
0,7_2,10_10_19,6.266073,1,0,0,1,0.6787848,InstructionPhase,-0.2918211,2.433918,0.09597325,356.1191,2.407835,357.3037,
0,7_2,10_10_19,6.27935,1,0,0,1,0.6920619,InstructionPhase,-0.2918766,2.43392,0.09596407,356.1087,2.3994,357.2928,
0,7_2,10_10_19,6.293341,1,0,0,1,0.7060528,InstructionPhase,-0.2918938,2.433959,0.09592021,356.0914,2.38565,357.2798,
0,7_2,10_10_19,6.307397,1,0,0,1,0.7201085,InstructionPhase,-0.2919267,2.434033,0.09589767,356.0688,2.390986,357.25,
0,7_2,10_10_19,6.319864,1,0,0,1,0.7325759,InstructionPhase,-0.2919096,2.434138,0.09596753,356.049,2.409568,357.2289,
0,7_2,10_10_19,6.333132,1,0,0,1,0.7458439,InstructionPhase,-0.2918845,2.434213,0.09597731,356.0362,2.426328,357.1996,
0,7_2,10_10_19,6.346725,1,0,0,1,0.7594361,InstructionPhase,-0.2919155,2.434284,0.09600627,356.0366,2.451058,357.1941,
0,7_2,10_10_19,6.359136,1,0,0,1,0.7718472,InstructionPhase,-0.291937,2.434386,0.09599268,356.0503,2.474678,357.1991,
0,7_2,10_10_19,6.371928,1,0,0,1,0.7846394,InstructionPhase,-0.2919842,2.434516,0.09598935,356.0471,2.492061,357.201,
0,7_2,10_10_19,6.385059,1,0,0,1,0.797771,InstructionPhase,-0.292032,2.434748,0.09594762,356.0128,2.510993,357.2234,
0,7_2,10_10_19,6.398129,1,0,0,1,0.8108411,InstructionPhase,-0.292022,2.434899,0.0960027,355.9836,2.515682,357.2662,
