SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Stage,xPos,yPos,zPos,xRot,yRot,zRot
0,7_2,11_41_21,3.217427,1,0,0,1,0.01625323,InstructionPhase,-0.07600451,2.507069,0.1665158,5.190313,352.1972,350.44,
0,7_2,11_41_21,3.252162,1,0,0,1,0.05098724,InstructionPhase,-0.07655978,2.507177,0.1663601,5.061866,351.9099,350.2776,
0,7_2,11_41_21,3.265924,1,0,0,1,0.06474948,InstructionPhase,-0.07660627,2.50727,0.166303,5.01363,351.9205,350.2973,
0,7_2,11_41_21,3.279299,1,0,0,1,0.078125,InstructionPhase,-0.07657492,2.507376,0.1662843,4.976236,351.9602,350.3421,
0,7_2,11_41_21,3.291481,1,0,0,1,0.09030724,InstructionPhase,-0.0765475,2.507561,0.1662271,4.90484,352.024,350.4143,
0,7_2,11_41_21,3.305417,1,0,0,1,0.1042428,InstructionPhase,-0.07644296,2.507567,0.1661348,4.907978,352.1557,350.4871,
0,7_2,11_41_21,3.317345,1,0,0,1,0.1161711,InstructionPhase,-0.07623076,2.507493,0.1660398,4.922901,352.2924,350.5509,
0,7_2,11_41_21,3.330147,1,0,0,1,0.1289725,InstructionPhase,-0.07616293,2.507424,0.1658686,4.921881,352.4247,350.6023,
0,7_2,11_41_21,3.343851,1,0,0,1,0.1426768,InstructionPhase,-0.07587302,2.507483,0.1657684,4.890791,352.5677,350.6493,
0,7_2,11_41_21,3.356908,1,0,0,1,0.1557341,InstructionPhase,-0.07565045,2.507553,0.1656749,4.856465,352.7073,350.7191,
0,7_2,11_41_21,3.370668,1,0,0,1,0.1694937,InstructionPhase,-0.07527149,2.507714,0.1654743,4.82222,353.0023,350.9021,
0,7_2,11_41_21,3.383873,1,0,0,1,0.1826982,InstructionPhase,-0.07500672,2.507852,0.1653502,4.785409,353.2085,351.0192,
0,7_2,11_41_21,3.396661,1,0,0,1,0.1954868,InstructionPhase,-0.07464123,2.507913,0.1652361,4.754245,353.4438,351.098,
0,7_2,11_41_21,3.409512,1,0,0,1,0.2083375,InstructionPhase,-0.07433045,2.507993,0.1650754,4.731217,353.6533,351.186,
0,7_2,11_41_21,3.423117,1,0,0,1,0.2219424,InstructionPhase,-0.0739044,2.508196,0.1649687,4.704424,353.8675,351.2552,
0,7_2,11_41_21,3.436415,1,0,0,1,0.2352409,InstructionPhase,-0.07318425,2.508507,0.1647105,4.620177,354.2941,351.4102,
0,7_2,11_41_21,3.449362,1,0,0,1,0.2481873,InstructionPhase,-0.0726856,2.508825,0.1645722,4.526394,354.561,351.5177,
0,7_2,11_41_21,3.461868,1,0,0,1,0.2606933,InstructionPhase,-0.07212806,2.509173,0.1644937,4.391718,354.8528,351.7036,
0,7_2,11_41_21,3.47499,1,0,0,1,0.2738154,InstructionPhase,-0.07155657,2.509589,0.1643404,4.253083,355.1414,351.8796,
0,7_2,11_41_21,3.488557,1,0,0,1,0.2873826,InstructionPhase,-0.07098711,2.509995,0.1641775,4.117012,355.4332,352.018,
0,7_2,11_41_21,3.502448,1,0,0,1,0.3012741,InstructionPhase,-0.06992877,2.510718,0.1638713,3.849132,355.976,352.2475,
0,7_2,11_41_21,3.515568,1,0,0,1,0.314394,InstructionPhase,-0.06930506,2.511114,0.1636525,3.710976,356.2563,352.3584,
0,7_2,11_41_21,3.528221,1,0,0,1,0.3270466,InstructionPhase,-0.06870592,2.511529,0.1634592,3.57126,356.562,352.4738,
0,7_2,11_41_21,3.541013,1,0,0,1,0.339839,InstructionPhase,-0.06804276,2.511967,0.1632154,3.440917,356.897,352.6082,
0,7_2,11_41_21,3.553775,1,0,0,1,0.3526011,InstructionPhase,-0.06728542,2.512374,0.162969,3.314609,357.2481,352.761,
0,7_2,11_41_21,3.566948,1,0,0,1,0.3657742,InstructionPhase,-0.06647146,2.5128,0.162693,3.190848,357.5962,352.9186,
