SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Stage,xPos,yPos,zPos,xRot,yRot,zRot
0,7_14,10_23_36,0.2182786,1,0,0,1,0.0121145,InstructionPhase,-0.1053864,2.376508,-0.4568849,84.37151,310.4701,1.741014E-05,
0,7_14,10_23_36,0.249263,1,0,0,1,0.04309891,InstructionPhase,-0.1053398,2.376479,-0.4568142,87.47005,308.611,0,
0,7_14,10_23_36,0.2586569,1,0,0,1,0.0524928,InstructionPhase,-0.1053256,2.376456,-0.4568264,87.47005,308.611,0,
0,7_14,10_23_36,0.2667958,1,0,0,1,0.06063169,InstructionPhase,-0.1053305,2.376422,-0.4569178,87.46997,308.5703,0,
0,7_14,10_23_36,0.275092,1,0,0,1,0.06892791,InstructionPhase,-0.1053171,2.376395,-0.456952,87.46997,308.5703,0,
0,7_14,10_23_36,0.2830613,1,0,0,1,0.0768972,InstructionPhase,-0.1052997,2.376393,-0.4569895,87.46997,308.5304,-3.8682E-05,
0,7_14,10_23_36,0.2947521,1,0,0,1,0.088588,InstructionPhase,-0.1052409,2.376461,-0.4570363,87.46997,308.472,0,
0,7_14,10_23_36,0.3057086,1,0,0,1,0.0995445,InstructionPhase,-0.10524,2.37646,-0.4570578,87.46997,308.472,0,
0,7_14,10_23_36,0.3172408,1,0,0,1,0.1110767,InstructionPhase,-0.1052018,2.376488,-0.4570391,87.46997,308.472,0,
0,7_14,10_23_36,0.3280485,1,0,0,1,0.1218844,InstructionPhase,-0.1051822,2.376498,-0.4570511,87.41593,308.472,0,
0,7_14,10_23_36,0.3388524,1,0,0,1,0.1326883,InstructionPhase,-0.1051519,2.376546,-0.4570666,87.41593,308.472,0,
0,7_14,10_23_36,0.349542,1,0,0,1,0.1433779,InstructionPhase,-0.105177,2.376528,-0.4570857,87.41593,308.472,0,
0,7_14,10_23_36,0.3607662,1,0,0,1,0.1546021,InstructionPhase,-0.1051472,2.376557,-0.4571257,87.35981,308.5281,-3.706908E-05,
0,7_14,10_23_36,0.3720999,1,0,0,1,0.1659358,InstructionPhase,-0.1051979,2.376561,-0.4571275,87.30311,308.5282,3.629062E-05,
0,7_14,10_23_36,0.3829953,1,0,0,1,0.1768312,InstructionPhase,-0.1051303,2.376565,-0.4571431,87.30311,308.5282,3.629062E-05,
0,7_14,10_23_36,0.3941263,1,0,0,1,0.1879622,InstructionPhase,-0.1050929,2.37656,-0.4573022,87.30311,308.5838,0,
0,7_14,10_23_36,0.4054267,1,0,0,1,0.1992626,InstructionPhase,-0.1049606,2.376602,-0.4573969,87.24665,308.6403,-3.554647E-05,
0,7_14,10_23_36,0.4164758,1,0,0,1,0.2103117,InstructionPhase,-0.1049265,2.376588,-0.4574314,87.24665,308.6403,-3.554647E-05,
0,7_14,10_23_36,0.4283504,1,0,0,1,0.2221863,InstructionPhase,-0.1048958,2.376604,-0.4574211,87.24665,308.6403,-3.554647E-05,
0,7_14,10_23_36,0.4385311,1,0,0,1,0.232367,InstructionPhase,-0.1048944,2.376603,-0.4574472,87.24665,308.6912,0,
0,7_14,10_23_36,0.4496937,1,0,0,1,0.2435296,InstructionPhase,-0.1049092,2.376584,-0.4575493,87.24665,308.6912,0,
0,7_14,10_23_36,0.4605508,1,0,0,1,0.2543867,InstructionPhase,-0.1048722,2.37658,-0.457592,87.24665,308.6912,0,
0,7_14,10_23_36,0.4719426,1,0,0,1,0.2657785,InstructionPhase,-0.1048386,2.37662,-0.4576186,87.18979,308.8051,0,
0,7_14,10_23_36,0.4831646,1,0,0,1,0.2770005,InstructionPhase,-0.1048702,2.3766,-0.4576469,87.13372,308.9173,-3.414544E-05,
0,7_14,10_23_36,0.4940977,1,0,0,1,0.2879336,InstructionPhase,-0.1048523,2.376577,-0.4577239,87.07899,308.9719,-6.701406E-05,
0,7_14,10_23_36,0.5052564,1,0,0,1,0.2990923,InstructionPhase,-0.1048723,2.37656,-0.457771,87.07899,308.9719,-6.701406E-05,
0,7_14,10_23_36,0.5163312,1,0,0,1,0.3101671,InstructionPhase,-0.1047945,2.376631,-0.4577501,86.80206,309.3596,0,
0,7_14,10_23_36,0.5275056,1,0,0,1,0.3213415,InstructionPhase,-0.104825,2.37666,-0.4576245,86.69032,309.6948,0,
0,7_14,10_23_36,0.5401299,1,0,0,1,0.3339658,InstructionPhase,-0.1048261,2.376663,-0.4576089,86.50095,310.1367,-2.797758E-05,
0,7_14,10_23_36,0.5492837,1,0,0,1,0.3431196,InstructionPhase,-0.1049454,2.376594,-0.4576267,86.50095,310.1367,-2.797758E-05,
0,7_14,10_23_36,0.5611029,1,0,0,1,0.3549388,InstructionPhase,-0.1049703,2.376624,-0.4576502,86.20543,310.7867,-2.580181E-05,
0,7_14,10_23_36,0.5717518,1,0,0,1,0.3655877,InstructionPhase,-0.1050488,2.376599,-0.457566,86.09892,310.9997,0,
0,7_14,10_23_36,0.5825409,1,0,0,1,0.3763768,InstructionPhase,-0.105028,2.376588,-0.4575754,86.09892,310.9997,0,
0,7_14,10_23_36,0.5940367,1,0,0,1,0.3878726,InstructionPhase,-0.1050279,2.376572,-0.457721,85.98399,311.1722,0,
0,7_14,10_23_36,0.605166,1,0,0,1,0.3990019,InstructionPhase,-0.1050309,2.376538,-0.4577315,85.98399,311.3391,-2.438118E-05,
0,7_14,10_23_36,0.6160451,1,0,0,1,0.409881,InstructionPhase,-0.1049433,2.376546,-0.4576485,85.98399,311.3391,-2.438118E-05,
0,7_14,10_23_36,0.6273082,1,0,0,1,0.4211441,InstructionPhase,-0.104925,2.376546,-0.4576058,86.04028,311.508,0,
0,7_14,10_23_36,0.6385744,1,0,0,1,0.4324103,InstructionPhase,-0.1048839,2.376513,-0.4576212,86.04031,312.1277,0,
0,7_14,10_23_36,0.6496362,1,0,0,1,0.4434721,InstructionPhase,-0.1048404,2.376488,-0.4576651,86.04037,312.5702,2.472737E-05,
0,7_14,10_23_36,0.660382,1,0,0,1,0.4542179,InstructionPhase,-0.1048176,2.376452,-0.4576658,86.04037,312.5702,2.472737E-05,
0,7_14,10_23_36,0.6717715,1,0,0,1,0.4656074,InstructionPhase,-0.1048118,2.376491,-0.4576305,86.04028,313.0827,0,
0,7_14,10_23_36,0.6829425,1,0,0,1,0.4767784,InstructionPhase,-0.1047946,2.376433,-0.4576059,85.8727,313.6971,0,
0,7_14,10_23_36,0.6936319,1,0,0,1,0.4874678,InstructionPhase,-0.1048453,2.376405,-0.4575894,85.8727,313.6971,0,
0,7_14,10_23_36,0.7050287,1,0,0,1,0.4988646,InstructionPhase,-0.1048394,2.376428,-0.4575526,85.53086,313.6971,2.191337E-05,
0,7_14,10_23_36,0.7163928,1,0,0,1,0.5102288,InstructionPhase,-0.1048741,2.376463,-0.4575568,84.28083,313.5834,-1.713482E-05,
0,7_14,10_23_36,0.7278007,1,0,0,1,0.5216366,InstructionPhase,-0.1049154,2.376444,-0.4575831,83.71038,313.5264,1.55863E-05,
0,7_14,10_23_36,0.7389732,1,0,0,1,0.5328091,InstructionPhase,-0.1049397,2.376475,-0.4576113,83.71038,313.5264,1.55863E-05,
0,7_14,10_23_36,0.7507497,1,0,0,1,0.5445856,InstructionPhase,-0.1049305,2.376471,-0.457794,83.29823,313.4675,0,
0,7_14,10_23_37,0.7621695,1,0,0,1,0.5560054,InstructionPhase,-0.1049489,2.376489,-0.4578145,82.84142,313.4104,1.370244E-05,
0,7_14,10_23_37,0.773858,1,0,0,1,0.5676939,InstructionPhase,-0.104864,2.376565,-0.4578769,82.72452,313.352,0,
0,7_14,10_23_37,0.785013,1,0,0,1,0.578849,InstructionPhase,-0.1048466,2.376564,-0.4579457,82.72452,313.352,0,
0,7_14,10_23_37,0.7965607,1,0,0,1,0.5903966,InstructionPhase,-0.1048398,2.376551,-0.4579998,82.49358,313.2365,0,
0,7_14,10_23_37,0.8080584,1,0,0,1,0.6018943,InstructionPhase,-0.1048559,2.376587,-0.4579549,82.32116,313.1215,0,
0,7_14,10_23_37,0.8192701,1,0,0,1,0.613106,InstructionPhase,-0.1048628,2.376585,-0.458015,82.32116,313.1215,0,
0,7_14,10_23_37,0.8310561,1,0,0,1,0.624892,InstructionPhase,-0.1049902,2.37653,-0.4580383,82.20323,313.0037,1.258701E-05,
0,7_14,10_23_37,0.8419768,1,0,0,1,0.6358128,InstructionPhase,-0.1050158,2.37654,-0.458087,82.03948,312.8398,0,
0,7_14,10_23_37,0.8535887,1,0,0,1,0.6474246,InstructionPhase,-0.1051013,2.376507,-0.4580693,81.98134,312.6076,1.224091E-05,
0,7_14,10_23_37,0.8648369,1,0,0,1,0.6586728,InstructionPhase,-0.1050913,2.376523,-0.4580813,81.98134,312.6076,1.224091E-05,
0,7_14,10_23_37,0.8765116,1,0,0,1,0.6703475,InstructionPhase,-0.1050762,2.376503,-0.4581203,82.03975,312.4325,0,
0,7_14,10_23_37,0.8878178,1,0,0,1,0.6816537,InstructionPhase,-0.1050588,2.37647,-0.4583084,82.03979,311.9803,0,
0,7_14,10_23_37,0.8989801,1,0,0,1,0.692816,InstructionPhase,-0.105075,2.376436,-0.4583549,82.09557,311.7012,0,
0,7_14,10_23_37,0.909758,1,0,0,1,0.7035939,InstructionPhase,-0.1049918,2.37652,-0.4584147,82.09557,311.7012,0,
0,7_14,10_23_37,0.9211733,1,0,0,1,0.7150092,InstructionPhase,-0.1049516,2.376512,-0.4584429,82.20971,311.2446,0,
0,7_14,10_23_37,0.9322509,1,0,0,1,0.7260869,InstructionPhase,-0.1049342,2.376497,-0.458502,82.37587,311.023,0,
0,7_14,10_23_37,0.9433962,1,0,0,1,0.7372321,InstructionPhase,-0.1049073,2.376532,-0.4585297,82.4873,310.9116,0,
0,7_14,10_23_37,0.954433,1,0,0,1,0.7482688,InstructionPhase,-0.1048768,2.376579,-0.4584084,82.4873,310.9116,0,
0,7_14,10_23_37,0.9658263,1,0,0,1,0.7596622,InstructionPhase,-0.1049417,2.376599,-0.4584197,82.88611,310.6837,1.378805E-05,
0,7_14,10_23_37,0.9767934,1,0,0,1,0.7706293,InstructionPhase,-0.1049263,2.376656,-0.4584295,82.99574,310.6288,-1.400285E-05,
0,7_14,10_23_37,0.9877622,1,0,0,1,0.7815981,InstructionPhase,-0.1048737,2.376686,-0.4584254,82.99574,310.6288,-1.400285E-05,
0,7_14,10_23_37,0.9997312,1,0,0,1,0.7935671,InstructionPhase,-0.1048218,2.376736,-0.4584534,83.11544,310.5691,1.424507E-05,
0,7_14,10_23_37,1.010332,1,0,0,1,0.8041674,InstructionPhase,-0.1048108,2.376772,-0.4584924,83.27451,310.41,-1.458026E-05,
0,7_14,10_23_37,1.031927,1,0,0,1,0.8257627,InstructionPhase,-0.1046782,2.376787,-0.4585535,83.32973,310.3547,0,
0,7_14,10_23_37,1.043812,1,0,0,1,0.8376476,InstructionPhase,-0.10466,2.376795,-0.4585622,83.56745,310.2359,0,
0,7_14,10_23_37,1.058365,1,0,0,1,0.8522007,InstructionPhase,-0.1045347,2.376787,-0.4586014,83.713,310.1631,-1.559277E-05,
0,7_14,10_23_37,1.066803,1,0,0,1,0.8606389,InstructionPhase,-0.1044828,2.376806,-0.4586052,83.79742,310.1209,-1.580404E-05,
0,7_14,10_23_37,1.076329,1,0,0,1,0.8701653,InstructionPhase,-0.1045265,2.37683,-0.4586235,83.79742,310.1209,-1.580404E-05,
0,7_14,10_23_37,1.08816,1,0,0,1,0.8819963,InstructionPhase,-0.1045029,2.376843,-0.458648,83.97484,310.0026,0,
0,7_14,10_23_37,1.098817,1,0,0,1,0.8926525,InstructionPhase,-0.1044607,2.376837,-0.4586564,84.08149,310.0026,1.655956E-05,
0,7_14,10_23_37,1.109757,1,0,0,1,0.9035931,InstructionPhase,-0.1044471,2.376856,-0.4586594,84.08149,310.0026,1.655956E-05,
0,7_14,10_23_37,1.121177,1,0,0,1,0.9150128,InstructionPhase,-0.1044127,2.37683,-0.4586229,84.19562,310.0026,1.68842E-05,
0,7_14,10_23_37,1.13225,1,0,0,1,0.9260863,InstructionPhase,-0.1044474,2.376888,-0.458659,84.19562,309.9472,0,
0,7_14,10_23_37,1.143114,1,0,0,1,0.9369503,InstructionPhase,-0.1044431,2.376903,-0.4586418,84.19562,309.9472,0,
0,7_14,10_23_37,1.154755,1,0,0,1,0.9485904,InstructionPhase,-0.104468,2.376891,-0.4586091,84.2539,309.7144,1.705461E-05,
0,7_14,10_23_37,1.165798,1,0,0,1,0.9596335,InstructionPhase,-0.104503,2.376929,-0.4585047,84.2538,309.604,1.705462E-05,
0,7_14,10_23_37,1.176678,1,0,0,1,0.9705135,InstructionPhase,-0.1044956,2.376955,-0.4584914,84.30825,309.4408,0,
0,7_14,10_23_37,1.187503,1,0,0,1,0.9813389,InstructionPhase,-0.1045426,2.376935,-0.4584267,84.30825,309.4408,0,
0,7_14,10_23_37,1.199195,1,0,0,1,0.9930305,InstructionPhase,-0.1045426,2.376946,-0.4583831,84.30825,309.2654,-1.721708E-05,
0,7_14,10_23_37,1.20992,1,0,0,1,1.003756,InstructionPhase,-0.1045989,2.376931,-0.4583423,84.30818,309.1581,-1.721708E-05,
0,7_14,10_23_37,1.22095,1,0,0,1,1.014786,InstructionPhase,-0.1046079,2.37694,-0.4582945,84.30818,309.1581,-1.721708E-05,
0,7_14,10_23_37,1.232098,1,0,0,1,1.025933,InstructionPhase,-0.1045933,2.376927,-0.4582713,84.36403,309.1581,-1.738679E-05,
0,7_14,10_23_37,1.243281,1,0,0,1,1.037117,InstructionPhase,-0.1045941,2.376925,-0.4582292,84.53177,309.1581,0,
0,7_14,10_23_37,1.254629,1,0,0,1,1.048465,InstructionPhase,-0.1045268,2.376899,-0.4582601,84.64526,309.2149,-1.829705E-05,
0,7_14,10_23_37,1.265427,1,0,0,1,1.059263,InstructionPhase,-0.1044679,2.376917,-0.4581937,84.64526,309.2149,-1.829705E-05,
0,7_14,10_23_37,1.276581,1,0,0,1,1.070417,InstructionPhase,-0.1044167,2.37686,-0.4581243,84.8125,309.3264,0,
0,7_14,10_23_37,1.28802,1,0,0,1,1.081856,InstructionPhase,-0.1043947,2.376852,-0.4580513,84.81254,309.3836,0,
0,7_14,10_23_37,1.299125,1,0,0,1,1.092961,InstructionPhase,-0.1043994,2.376843,-0.4579988,84.86798,309.4392,0,
0,7_14,10_23_37,1.309546,1,0,0,1,1.103382,InstructionPhase,-0.1043272,2.376822,-0.4579806,84.86798,309.4392,0,
0,7_14,10_23_37,1.321272,1,0,0,1,1.115108,InstructionPhase,-0.1043185,2.376855,-0.4579506,85.10258,309.6737,0,
0,7_14,10_23_37,1.332217,1,0,0,1,1.126053,InstructionPhase,-0.1043136,2.376823,-0.4578794,85.2121,309.7831,0,
0,7_14,10_23_37,1.342941,1,0,0,1,1.136777,InstructionPhase,-0.1043125,2.376825,-0.4578455,85.2121,309.7831,0,
0,7_14,10_23_37,1.354603,1,0,0,1,1.148439,InstructionPhase,-0.1043359,2.376831,-0.457853,85.56182,310.2496,0,
0,7_14,10_23_37,1.365354,1,0,0,1,1.15919,InstructionPhase,-0.1043726,2.376845,-0.4578345,85.66935,310.4109,0,
0,7_14,10_23_37,1.376337,1,0,0,1,1.170172,InstructionPhase,-0.1044075,2.376879,-0.4578329,85.66935,310.4109,0,
0,7_14,10_23_37,1.38811,1,0,0,1,1.181946,InstructionPhase,-0.1044027,2.376916,-0.4578084,85.72823,310.5286,0,
0,7_14,10_23_38,1.399928,1,0,0,1,1.193764,InstructionPhase,-0.1043546,2.376887,-0.4579126,85.72823,310.5286,0,
0,7_14,10_23_38,1.733261,1,0,0,1,1.527097,InstructionPhase,-0.09202611,2.380484,-0.4568103,85.72823,310.5286,0,
0,7_14,10_23_38,1.747764,1,0,0,1,1.5416,InstructionPhase,0.000728488,2.3807,-3.153086E-05,85.72823,310.5286,0,
0,7_14,10_23_38,1.813501,1,0,0,1,1.607337,InstructionPhase,0.005176187,2.381695,-0.0007488132,85.72823,310.5286,0,
0,7_14,10_23_38,1.828152,1,0,0,1,1.621988,InstructionPhase,0.006610274,2.382069,-0.001076221,85.72823,310.5286,0,
0,7_14,10_23_38,1.841754,1,0,0,1,1.63559,InstructionPhase,0.007375956,2.382267,-0.001164794,85.72823,310.5286,0,
0,7_14,10_23_38,1.854721,1,0,0,1,1.648557,InstructionPhase,0.007968068,2.382368,-0.001370728,85.72823,310.5286,0,
0,7_14,10_23_38,1.866445,1,0,0,1,1.660281,InstructionPhase,0.008574963,2.382532,-0.001426637,85.72823,310.5286,0,
0,7_14,10_23_38,1.879241,1,0,0,1,1.673077,InstructionPhase,0.009275198,2.382653,-0.001591146,85.72823,310.5286,0,
0,7_14,10_23_38,1.891248,1,0,0,1,1.685084,InstructionPhase,0.009870291,2.382794,-0.001723528,85.72823,310.5286,0,
0,7_14,10_23_38,1.906397,1,0,0,1,1.700233,InstructionPhase,0.01106679,2.38298,-0.001892269,85.72823,310.5286,0,
0,7_14,10_23_38,1.920689,1,0,0,1,1.714525,InstructionPhase,0.01156723,2.383063,-0.00202173,85.72823,310.5286,0,
