SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Stage,xPos,yPos,zPos,xRot,yRot,zRot
0,7_2,11_36_41,4.869493,1,0,0,1,0.0164299,InstructionPhase,-0.02610981,2.565236,0.2497414,3.351019,358.1469,359.1524,
0,7_2,11_36_41,4.986378,1,0,0,1,0.1333146,InstructionPhase,-0.02579904,2.565483,0.2502196,3.328774,358.0565,359.076,
0,7_2,11_36_41,5.001469,1,0,0,1,0.1484051,InstructionPhase,-0.02586973,2.565404,0.2502308,3.342489,358.0545,359.0763,
0,7_2,11_36_41,5.014726,1,0,0,1,0.1616621,InstructionPhase,-0.02591622,2.565361,0.2502272,3.349949,358.0465,359.0727,
0,7_2,11_36_41,5.027122,1,0,0,1,0.174058,InstructionPhase,-0.0259409,2.565303,0.2502184,3.349847,358.0266,359.0571,
0,7_2,11_36_41,5.048958,1,0,0,1,0.1958942,InstructionPhase,-0.02593768,2.565377,0.250247,3.357618,358.0204,359.0536,
0,7_2,11_36_41,5.061567,1,0,0,1,0.2085032,InstructionPhase,-0.02601445,2.565388,0.2502278,3.357112,358.0114,359.0654,
0,7_2,11_36_41,5.074893,1,0,0,1,0.2218294,InstructionPhase,-0.02603936,2.56538,0.2502545,3.350861,358.0036,359.0708,
0,7_2,11_36_41,5.08749,1,0,0,1,0.2344265,InstructionPhase,-0.02605462,2.565363,0.2502232,3.360091,357.9936,359.0665,
0,7_2,11_36_41,5.100657,1,0,0,1,0.2475939,InstructionPhase,-0.02607954,2.565334,0.2502832,3.371576,357.9889,359.0608,
0,7_2,11_36_41,5.113447,1,0,0,1,0.2603831,InstructionPhase,-0.02609694,2.565307,0.2503008,3.377225,357.9784,359.0524,
0,7_2,11_36_41,5.12592,1,0,0,1,0.2728567,InstructionPhase,-0.02612567,2.565301,0.2503799,3.395995,357.9696,359.0446,
0,7_2,11_36_41,5.137902,1,0,0,1,0.2848387,InstructionPhase,-0.02623653,2.565288,0.2504402,3.406715,357.949,359.0268,
0,7_2,11_36_41,5.15052,1,0,0,1,0.2974567,InstructionPhase,-0.02627254,2.565265,0.2504475,3.411695,357.9514,359.0118,
0,7_2,11_36_41,5.162568,1,0,0,1,0.309504,InstructionPhase,-0.02621996,2.565237,0.2504829,3.412624,357.9324,359.0119,
0,7_2,11_36_41,5.174717,1,0,0,1,0.3216538,InstructionPhase,-0.02623391,2.56522,0.2504867,3.41646,357.9266,359.0158,
