SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,xPos,yPos,zPos,xRot,yRot,zRot
0,6_16,10_27_47,4.118473,1,0,0,0,0.01762915,-0.06608891,1.104206,0.09535253,7.40845,355.8048,1.482306,
0,6_16,10_27_47,4.138204,1,0,0,0,0.03736019,-0.06599259,1.104426,0.09489954,7.330323,355.8206,1.440856,
0,6_16,10_27_47,4.149592,1,0,0,0,0.04874849,-0.06588256,1.104361,0.09464788,7.345014,355.8448,1.424117,
0,6_16,10_27_47,4.162662,1,0,0,0,0.06181765,-0.06574905,1.104307,0.09459841,7.368546,355.8618,1.410745,
0,6_16,10_27_47,4.176553,1,0,0,0,0.07570934,-0.06568408,1.104275,0.09453368,7.390643,355.8626,1.406208,
0,6_16,10_27_47,4.189804,1,0,0,0,0.08895969,-0.06565285,1.10421,0.09454262,7.395653,355.8711,1.407195,
0,6_16,10_27_47,4.203243,1,0,0,0,0.1023989,-0.06565225,1.104246,0.09447336,7.376024,355.8866,1.402752,
0,6_16,10_27_47,4.215969,1,0,0,0,0.1151247,-0.0656023,1.104308,0.09441328,7.323649,355.9022,1.382607,
0,6_16,10_27_47,4.227973,1,0,0,0,0.1271296,-0.0655638,1.104352,0.09440732,7.313504,355.9002,1.358659,
0,6_16,10_27_47,4.241714,1,0,0,0,0.1408701,-0.06558251,1.104339,0.09442294,7.300801,355.9117,1.358649,
0,6_16,10_27_47,4.256163,1,0,0,0,0.1553192,-0.06554127,1.104335,0.09447789,7.316583,355.912,1.349981,
0,6_16,10_27_47,4.268994,1,0,0,0,0.1681499,-0.06547642,1.104311,0.09441459,7.307639,355.9118,1.356329,
0,6_16,10_27_47,4.280272,1,0,0,0,0.1794276,-0.06542897,1.104327,0.09443974,7.310179,355.9025,1.347936,
0,6_16,10_27_47,4.292474,1,0,0,0,0.1916299,-0.06535697,1.104291,0.09440053,7.311223,355.8987,1.352939,
0,6_16,10_27_47,4.304347,1,0,0,0,0.2035031,-0.06525528,1.104276,0.09445965,7.317288,355.8934,1.33163,
0,6_16,10_27_47,4.316932,1,0,0,0,0.2160878,-0.06520331,1.104246,0.09448123,7.335189,355.886,1.320494,
0,6_16,10_27_47,4.330567,1,0,0,0,0.229723,-0.06516516,1.104252,0.09442878,7.362578,355.8841,1.300266,
0,6_16,10_27_47,4.341089,1,0,0,0,0.2402449,-0.0650177,1.104379,0.09452474,7.379305,355.888,1.283908,
0,6_16,10_27_47,4.351946,1,0,0,0,0.251102,-0.06492984,1.104357,0.09441781,7.377347,355.8858,1.269014,
0,6_16,10_27_47,4.362832,1,0,0,0,0.2619877,-0.06483626,1.104343,0.09448123,7.376168,355.8892,1.27528,
0,6_16,10_27_47,4.374174,1,0,0,0,0.2733302,-0.06480372,1.104385,0.09451795,7.36206,355.882,1.281954,
0,6_16,10_27_47,4.384935,1,0,0,0,0.284091,-0.06491542,1.104374,0.09464598,7.358552,355.8859,1.293302,
0,6_16,10_27_47,4.397625,1,0,0,0,0.2967811,-0.06492913,1.104367,0.09470344,7.34336,355.8746,1.318303,
0,6_16,10_27_47,4.408957,1,0,0,0,0.3081131,-0.06490946,1.104395,0.09482014,7.339263,355.8679,1.326715,
0,6_16,10_27_47,4.420752,1,0,0,0,0.3199077,-0.06491923,1.104488,0.09489119,7.312047,355.8699,1.330624,
0,6_16,10_27_47,4.435189,1,0,0,0,0.3343453,-0.06492579,1.104619,0.09495318,7.259426,355.8666,1.327294,
0,6_16,10_27_47,4.449276,1,0,0,0,0.3484321,-0.0649178,1.104815,0.09510994,7.16902,355.8752,1.325632,
