SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,xPos,yPos,zPos,xRot,yRot,zRot
0,6_23,12_3_41,10.5644,1,0,0,1,0.01594734,-0.2253219,2.159397,0.1384643,10.33896,2.593014,358.1863,
0,6_23,12_3_41,10.7013,1,0,0,1,0.1528492,-0.2250695,2.160263,0.1389031,10.32194,2.005852,357.8655,
0,6_23,12_3_41,10.71592,1,0,0,1,0.16747,-0.2249007,2.160242,0.1390491,10.35377,1.93596,357.8282,
0,6_23,12_3_41,10.72817,1,0,0,1,0.179719,-0.2248824,2.160208,0.1392654,10.3821,1.875436,357.7951,
0,6_23,12_3_41,10.73976,1,0,0,1,0.1913118,-0.224762,2.160136,0.1393991,10.38869,1.828453,357.7573,
0,6_23,12_3_41,10.75144,1,0,0,1,0.2029867,-0.2246227,2.160054,0.1395202,10.42917,1.794665,357.7166,
0,6_23,12_3_41,10.76367,1,0,0,1,0.2152214,-0.2244928,2.159886,0.1395593,10.46302,1.768755,357.6616,
0,6_23,12_3_41,10.77748,1,0,0,1,0.229023,-0.2241415,2.159665,0.1397318,10.55541,1.76521,357.5646,
0,6_23,12_3_41,10.78841,1,0,0,1,0.2399569,-0.2239897,2.15955,0.1397395,10.59904,1.792111,357.5256,
0,6_23,12_3_41,10.80098,1,0,0,1,0.2525244,-0.2238781,2.159422,0.1396664,10.651,1.85812,357.5032,
0,6_23,12_3_41,10.81371,1,0,0,1,0.2652578,-0.2237529,2.159348,0.1396985,10.66751,1.928647,357.4875,
0,6_23,12_3_41,10.82543,1,0,0,1,0.2769794,-0.2235986,2.159281,0.1396958,10.68122,1.990953,357.4822,
0,6_23,12_3_41,10.83652,1,0,0,1,0.2880716,-0.2234939,2.159231,0.1397343,10.68118,2.049249,357.5014,
0,6_23,12_3_41,10.84732,1,0,0,1,0.298871,-0.2233866,2.159204,0.1397783,10.67367,2.110723,357.5366,
0,6_23,12_3_41,10.85869,1,0,0,1,0.3102398,-0.2233646,2.159216,0.1397176,10.66924,2.162162,357.5653,
0,6_23,12_3_41,10.86946,1,0,0,1,0.3210058,-0.2232976,2.159291,0.1397419,10.62501,2.215692,357.6068,
0,6_23,12_3_41,10.88047,1,0,0,1,0.332016,-0.2233111,2.159344,0.1396636,10.56187,2.278415,357.6349,
0,6_23,12_3_41,10.89171,1,0,0,1,0.3432617,-0.2233144,2.159453,0.139647,10.51358,2.320576,357.6485,
0,6_23,12_3_41,10.90268,1,0,0,1,0.3542252,-0.2232988,2.159496,0.1396087,10.47357,2.361825,357.6584,
0,6_23,12_3_41,10.91379,1,0,0,1,0.3653412,-0.2233727,2.159552,0.1394665,10.4586,2.392633,357.6915,
0,6_23,12_3_41,10.92584,1,0,0,1,0.3773842,-0.2234299,2.159595,0.1393862,10.4494,2.400209,357.7407,
0,6_23,12_3_41,10.93801,1,0,0,1,0.3895569,-0.2235336,2.159652,0.1392981,10.43527,2.387494,357.7999,
0,6_23,12_3_41,10.94972,1,0,0,1,0.401268,-0.2236649,2.159726,0.1391231,10.41842,2.369109,357.863,
0,6_23,12_3_41,10.96168,1,0,0,1,0.413229,-0.223851,2.159876,0.1389059,10.37425,2.329865,357.917,
0,6_23,12_3_41,10.97387,1,0,0,1,0.425416,-0.2240047,2.160035,0.1387159,10.32157,2.271223,357.947,
0,6_23,12_3_41,10.98548,1,0,0,1,0.4370298,-0.2241621,2.160235,0.1384841,10.25218,2.202784,357.9753,
0,6_23,12_3_41,10.99653,1,0,0,1,0.4480772,-0.2243242,2.160536,0.1382736,10.14237,2.15734,358.0296,
0,6_23,12_3_41,11.00752,1,0,0,1,0.4590702,-0.2244543,2.160929,0.1380401,9.967919,2.112219,358.0866,
0,6_23,12_3_41,11.01853,1,0,0,1,0.4700785,-0.2245514,2.161446,0.1377394,9.766173,2.084671,358.1787,
0,6_23,12_3_41,11.02982,1,0,0,1,0.4813633,-0.2246208,2.162044,0.1374533,9.511528,2.078848,358.2924,
0,6_23,12_3_41,11.04355,1,0,0,1,0.4951019,-0.2248994,2.163229,0.1368058,9.033288,2.079347,358.5331,
0,6_23,12_3_41,11.05525,1,0,0,1,0.5067949,-0.224977,2.163842,0.1363381,8.737556,2.08802,358.6839,
