Timestamp (s),Frame,Emotion,Confidence (%)
0.02,1,fear,96.7
0.02,1,fear,53.5
0.04,2,fear,48.9
0.04,2,fear,92.9
0.06,3,sad,53.3
0.06,3,fear,96.1
0.08,4,sad,53.3
0.08,4,fear,96.1
0.1,5,sad,63.3
0.1,5,sad,51.2
0.12,6,fear,52.6
0.12,6,sad,70.6
0.14,7,sad,71.6
0.14,7,sad,90.1
0.16,8,sad,90.1
0.16,8,sad,64.8
0.18,9,neutral,60.9
0.18,9,sad,58.3
0.2,10,neutral,57.2
0.2,10,happy,47.4
0.2,10,fear,97.6
0.22,11,sad,49.0
0.22,11,neutral,57.2
0.22,11,fear,97.4
0.24,12,neutral,86.0
0.24,12,happy,93.9
0.24,12,happy,39.5
0.26,13,neutral,86.0
0.26,13,happy,39.5
0.26,13,happy,93.9
0.28,14,happy,88.8
0.28,14,fear,63.1
0.28,14,sad,98.2
0.3,15,sad,97.6
0.3,15,angry,50.4
0.3,15,angry,56.6
0.32,16,sad,74.8
0.32,16,happy,95.3
0.32,16,neutral,60.6
0.32,16,fear,58.9
0.34,17,sad,90.8
0.34,17,happy,95.3
0.34,17,neutral,69.0
0.34,17,fear,58.8
0.36,18,neutral,83.5
0.36,18,sad,56.4
0.36,18,neutral,85.6
0.36,18,neutral,89.6
0.38,19,neutral,84.1
0.38,19,happy,99.3
0.38,19,neutral,89.6
0.38,19,neutral,58.5
0.4,20,sad,98.9
0.4,20,neutral,88.0
0.4,20,neutral,79.0
0.42,21,neutral,79.0
0.42,21,sad,94.2
0.42,21,neutral,88.0
0.44,22,neutral,92.8
0.44,22,sad,79.2
0.44,22,sad,87.7
0.46,23,happy,50.0
0.46,23,neutral,92.8
0.46,23,sad,88.0
0.48,24,happy,98.8
0.48,24,sad,86.0
0.5,25,sad,57.6
0.5,25,happy,99.2
0.52,26,happy,99.2
0.52,26,sad,57.6
0.54,27,sad,39.8
0.54,27,neutral,96.9
0.54,27,sad,71.3
0.56,28,neutral,96.9
0.56,28,sad,33.8
0.56,28,sad,64.5
0.58,29,fear,46.6
0.58,29,sad,82.2
0.6,30,sad,39.7
0.6,30,sad,88.1
0.62,31,fear,63.2
0.62,31,sad,94.3
0.62,31,neutral,90.3
0.62,31,neutral,99.5
0.62,31,happy,91.6
0.64,32,sad,94.3
0.64,32,fear,63.2
0.64,32,neutral,99.5
0.64,32,neutral,90.3
0.64,32,happy,91.6
0.66,33,sad,98.3
0.66,33,sad,40.3
0.66,33,neutral,100.0
0.68,34,sad,40.1
0.68,34,sad,98.3
0.68,34,neutral,100.0
0.69,35,happy,92.6
0.69,35,sad,87.2
0.69,35,neutral,100.0
0.71,36,happy,92.6
0.71,36,sad,87.2
0.71,36,neutral,99.8
0.73,37,sad,94.8
0.73,37,happy,99.5
0.73,37,neutral,99.8
0.75,38,sad,94.6
0.75,38,happy,99.0
0.75,38,neutral,99.8
0.77,39,happy,99.0
0.77,39,happy,34.4
0.77,39,neutral,98.7
0.77,39,happy,90.3
0.79,40,happy,34.1
0.79,40,happy,96.7
0.79,40,neutral,99.4
0.79,40,happy,98.5
0.81,41,sad,81.8
0.81,41,happy,89.7
0.81,41,neutral,97.5
0.81,41,happy,50.6
0.83,42,happy,79.7
0.83,42,sad,71.7
0.83,42,neutral,99.3
0.83,42,happy,59.1
0.83,42,happy,93.2
0.85,43,happy,79.7
